,date,category,sales_rate
100,2016-01-10,숙취해소제,197
101,2016-01-10,스타킹,21
102,2016-01-10,아이스크림,564
103,2016-01-10,탄산음료,112
104,2016-01-11,과자,887
105,2016-01-11,아이스크림,402
106,2016-01-11,라면,585
107,2016-01-11,마스크,28
108,2016-01-11,맥주,183
109,2016-01-11,생리대,49
110,2016-01-11,생수,105
111,2016-01-11,숙취해소제,56
112,2016-01-11,스타킹,21
113,2016-01-11,탄산음료,49
114,2016-01-11,면도기,14
115,2016-01-12,과자,838
116,2016-01-12,스타킹,42
117,2016-01-12,탄산음료,141
118,2016-01-12,라면,500
119,2016-01-12,맥주,239
120,2016-01-12,생리대,28
121,2016-01-12,생수,98
122,2016-01-12,숙취해소제,112
123,2016-01-12,아이스크림,402
124,2016-01-12,면도기,14
125,2016-01-12,마스크,14
126,2016-01-13,과자,1192
127,2016-01-13,라면,521
128,2016-01-13,맥주,331
129,2016-01-13,생리대,49
130,2016-01-13,생수,119
131,2016-01-13,숙취해소제,84
132,2016-01-13,아이스크림,225
133,2016-01-13,우산,21
134,2016-01-13,탄산음료,56
135,2016-01-13,마스크,7
136,2016-01-13,스타킹,14
137,2016-01-14,라면,599
138,2016-01-14,아이스크림,394
139,2016-01-14,과자,895
140,2016-01-14,마스크,14
141,2016-01-14,맥주,155
142,2016-01-14,생리대,14
143,2016-01-14,생수,98
144,2016-01-14,숙취해소제,105
145,2016-01-14,스타킹,7
146,2016-01-14,탄산음료,84
147,2016-01-14,면도기,7
148,2016-01-15,과자,1007
149,2016-01-15,아이스크림,352
150,2016-01-15,라면,585
151,2016-01-15,마스크,49
152,2016-01-15,맥주,189
153,2016-01-15,생리대,49
154,2016-01-15,생수,275
155,2016-01-15,숙취해소제,112
156,2016-01-15,스타킹,21
157,2016-01-15,탄산음료,147
158,2016-01-16,과자,973
159,2016-01-16,생수,311
160,2016-01-16,스타킹,28
161,2016-01-16,아이스크림,627
162,2016-01-16,탄산음료,147
163,2016-01-16,라면,563
164,2016-01-16,마스크,7
165,2016-01-16,맥주,233
166,2016-01-16,생리대,77
167,2016-01-16,숙취해소제,197
168,2016-01-17,과자,1361
169,2016-01-17,라면,598
170,2016-01-17,생리대,63
171,2016-01-17,탄산음료,49
172,2016-01-17,맥주,240
173,2016-01-17,생수,211
174,2016-01-17,숙취해소제,98
175,2016-01-17,스타킹,49
176,2016-01-17,아이스크림,706
177,2016-01-17,면도기,7
178,2016-01-18,과자,592
179,2016-01-18,라면,415
180,2016-01-18,아이스크림,169
181,2016-01-18,탄산음료,42
182,2016-01-18,마스크,21
183,2016-01-18,맥주,133
184,2016-01-18,생리대,49
185,2016-01-18,생수,70
186,2016-01-18,숙취해소제,14
187,2016-01-18,스타킹,21
188,2016-01-19,과자,959
189,2016-01-19,생리대,119
190,2016-01-19,라면,642
191,2016-01-19,마스크,28
192,2016-01-19,맥주,155
193,2016-01-19,생수,56
194,2016-01-19,숙취해소제,42
195,2016-01-19,스타킹,42
196,2016-01-19,아이스크림,190
197,2016-01-19,탄산음료,35
198,2016-01-20,과자,1177
199,2016-01-20,라면,628
200,2016-01-20,맥주,240
201,2016-01-20,숙취해소제,56
202,2016-01-20,탄산음료,91
203,2016-01-20,마스크,21
204,2016-01-20,생리대,35
205,2016-01-20,생수,147
206,2016-01-20,스타킹,7
207,2016-01-20,아이스크림,479
208,2016-01-21,과자,1092
209,2016-01-21,라면,663
210,2016-01-21,맥주,218
211,2016-01-21,면도기,7
212,2016-01-21,생리대,35
213,2016-01-21,생수,42
214,2016-01-21,숙취해소제,126
215,2016-01-21,아이스크림,282
216,2016-01-21,탄산음료,105
217,2016-01-21,마스크,21
218,2016-01-22,과자,1204
219,2016-01-22,아이스크림,281
220,2016-01-22,라면,506
221,2016-01-22,마스크,35
222,2016-01-22,맥주,296
223,2016-01-22,면도기,14
224,2016-01-22,생리대,21
225,2016-01-22,생수,324
226,2016-01-22,숙취해소제,126
227,2016-01-22,스타킹,42
228,2016-01-22,탄산음료,70
229,2016-01-23,과자,1542
230,2016-01-23,맥주,395
231,2016-01-23,생수,147
232,2016-01-23,라면,584
233,2016-01-23,마스크,35
234,2016-01-23,면도기,7
235,2016-01-23,생리대,77
236,2016-01-23,숙취해소제,162
237,2016-01-23,스타킹,42
238,2016-01-23,아이스크림,422
239,2016-01-23,탄산음료,70
240,2016-01-24,과자,1170
241,2016-01-24,라면,520
242,2016-01-24,아이스크림,429
243,2016-01-24,맥주,183
244,2016-01-24,생리대,42
245,2016-01-24,생수,77
246,2016-01-24,숙취해소제,119
247,2016-01-24,스타킹,7
248,2016-01-24,탄산음료,126
249,2016-01-24,마스크,7
250,2016-01-25,과자,768
251,2016-01-25,맥주,295
252,2016-01-25,라면,430
253,2016-01-25,마스크,14
254,2016-01-25,생리대,56
255,2016-01-25,생수,338
256,2016-01-25,숙취해소제,148
257,2016-01-25,스타킹,14
258,2016-01-25,아이스크림,325
259,2016-01-25,탄산음료,77
260,2016-01-26,과자,775
261,2016-01-26,라면,569
262,2016-01-26,맥주,218
263,2016-01-26,탄산음료,63
264,2016-01-26,생리대,49
265,2016-01-26,생수,140
266,2016-01-26,숙취해소제,91
267,2016-01-26,아이스크림,233
268,2016-01-26,우산,14
269,2016-01-26,면도기,7
270,2016-01-27,과자,1268
271,2016-01-27,라면,584
272,2016-01-27,생수,161
273,2016-01-27,맥주,191
274,2016-01-27,생리대,28
275,2016-01-27,숙취해소제,70
276,2016-01-27,스타킹,28
277,2016-01-27,아이스크림,373
278,2016-01-27,탄산음료,70
279,2016-01-27,마스크,7
280,2016-01-28,과자,845
281,2016-01-28,라면,711
282,2016-01-28,맥주,295
283,2016-01-28,숙취해소제,84
284,2016-01-28,아이스크림,430
285,2016-01-28,생리대,49
286,2016-01-28,생수,140
287,2016-01-28,스타킹,35
288,2016-01-28,탄산음료,70
289,2016-01-28,면도기,35
290,2016-01-28,마스크,14
291,2016-01-29,과자,1127
292,2016-01-29,라면,542
293,2016-01-29,맥주,429
294,2016-01-29,아이스크림,535
295,2016-01-29,생리대,127
296,2016-01-29,생수,147
297,2016-01-29,숙취해소제,134
298,2016-01-29,스타킹,35
299,2016-01-29,탄산음료,77
300,2016-01-30,과자,1071
301,2016-01-30,라면,521
302,2016-01-30,탄산음료,126
303,2016-01-30,마스크,7
304,2016-01-30,맥주,261
305,2016-01-30,생리대,99
306,2016-01-30,생수,254
307,2016-01-30,숙취해소제,338
308,2016-01-30,스타킹,91
309,2016-01-30,아이스크림,663
310,2016-01-31,라면,832
311,2016-01-31,과자,1163
312,2016-01-31,맥주,395
313,2016-01-31,면도기,14
314,2016-01-31,생리대,70
315,2016-01-31,생수,84
316,2016-01-31,숙취해소제,56
317,2016-01-31,스타킹,7
318,2016-01-31,아이스크림,395
319,2016-01-31,탄산음료,84
320,2016-01-31,마스크,7
321,2016-02-01,과자,795
322,2016-02-01,생수,254
323,2016-02-01,탄산음료,49
324,2016-02-01,라면,472
325,2016-02-01,맥주,190
326,2016-02-01,생리대,35
327,2016-02-01,숙취해소제,106
328,2016-02-01,스타킹,7
329,2016-02-01,아이스크림,217
330,2016-02-01,마스크,21
331,2016-02-01,면도기,7
332,2016-02-02,과자,859
333,2016-02-02,생수,175
334,2016-02-02,라면,507
335,2016-02-02,맥주,133
336,2016-02-02,생리대,49
337,2016-02-02,숙취해소제,133
338,2016-02-02,아이스크림,289
339,2016-02-02,탄산음료,63
340,2016-02-02,스타킹,7
341,2016-02-02,면도기,7
342,2016-02-03,맥주,175
343,2016-02-03,탄산음료,77
344,2016-02-03,과자,1368
345,2016-02-03,라면,457
346,2016-02-03,생리대,49
347,2016-02-03,생수,232
348,2016-02-03,숙취해소제,98
349,2016-02-03,스타킹,14
350,2016-02-03,아이스크림,288
351,2016-02-03,면도기,7
352,2016-02-04,과자,1092
353,2016-02-04,탄산음료,70
354,2016-02-04,라면,429
355,2016-02-04,마스크,14
356,2016-02-04,맥주,155
357,2016-02-04,생리대,56
358,2016-02-04,생수,147
359,2016-02-04,숙취해소제,70
360,2016-02-04,스타킹,35
361,2016-02-04,아이스크림,416
362,2016-02-05,과자,887
363,2016-02-05,라면,422
364,2016-02-05,맥주,338
365,2016-02-05,생리대,98
366,2016-02-05,숙취해소제,162
367,2016-02-05,스타킹,35
368,2016-02-05,아이스크림,310
369,2016-02-05,면도기,7
370,2016-02-05,생수,119
371,2016-02-05,탄산음료,126
372,2016-02-05,마스크,7
373,2016-02-06,과자,924
374,2016-02-06,라면,373
375,2016-02-06,마스크,14
376,2016-02-06,숙취해소제,120
377,2016-02-06,탄산음료,98
378,2016-02-06,맥주,486
379,2016-02-06,생리대,77
380,2016-02-06,생수,84
381,2016-02-06,스타킹,7
382,2016-02-06,아이스크림,380
383,2016-02-07,과자,753
384,2016-02-07,라면,338
385,2016-02-07,생리대,49
386,2016-02-07,아이스크림,338
387,2016-02-07,마스크,14
388,2016-02-07,맥주,197
389,2016-02-07,면도기,21
390,2016-02-07,생수,91
391,2016-02-07,숙취해소제,84
392,2016-02-07,스타킹,28
393,2016-02-07,탄산음료,49
394,2016-02-08,과자,1157
395,2016-02-08,라면,373
396,2016-02-08,아이스크림,690
397,2016-02-08,탄산음료,42
398,2016-02-08,맥주,133
399,2016-02-08,생리대,63
400,2016-02-08,생수,119
401,2016-02-08,숙취해소제,56
402,2016-02-08,스타킹,7
403,2016-02-09,과자,832
404,2016-02-09,라면,402
405,2016-02-09,맥주,233
406,2016-02-09,생수,112
407,2016-02-09,생리대,77
408,2016-02-09,숙취해소제,162
409,2016-02-09,스타킹,35
410,2016-02-09,아이스크림,486
411,2016-02-09,탄산음료,134
412,2016-02-09,면도기,7
413,2016-02-10,라면,372
414,2016-02-10,과자,895
415,2016-02-10,마스크,7
416,2016-02-10,맥주,161
417,2016-02-10,생리대,77
418,2016-02-10,생수,204
419,2016-02-10,숙취해소제,77
420,2016-02-10,아이스크림,317
421,2016-02-10,탄산음료,112
422,2016-02-10,면도기,49
423,2016-02-11,과자,901
424,2016-02-11,라면,457
425,2016-02-11,생리대,77
426,2016-02-11,생수,133
427,2016-02-11,탄산음료,70
428,2016-02-11,맥주,112
429,2016-02-11,숙취해소제,84
430,2016-02-11,아이스크림,346
431,2016-02-11,우산,35
432,2016-02-11,마스크,7
433,2016-02-12,과자,945
434,2016-02-12,라면,408
435,2016-02-12,맥주,155
436,2016-02-12,아이스크림,309
437,2016-02-12,생리대,28
438,2016-02-12,생수,77
439,2016-02-12,숙취해소제,119
440,2016-02-12,스타킹,49
441,2016-02-12,우산,70
442,2016-02-12,탄산음료,49
443,2016-02-12,마스크,14
444,2016-02-13,과자,1121
445,2016-02-13,맥주,275
446,2016-02-13,아이스크림,373
447,2016-02-13,라면,366
448,2016-02-13,생리대,84
449,2016-02-13,생수,239
450,2016-02-13,숙취해소제,310
451,2016-02-13,스타킹,84
452,2016-02-13,우산,394
453,2016-02-13,탄산음료,77
454,2016-02-14,과자,993
455,2016-02-14,라면,436
456,2016-02-14,맥주,217
457,2016-02-14,탄산음료,91
458,2016-02-14,생리대,49
459,2016-02-14,생수,84
460,2016-02-14,숙취해소제,42
461,2016-02-14,스타킹,14
462,2016-02-14,아이스크림,276
463,2016-02-14,면도기,7
464,2016-02-15,과자,746
465,2016-02-15,라면,493
466,2016-02-15,마스크,28
467,2016-02-15,생리대,63
468,2016-02-15,생수,140
469,2016-02-15,숙취해소제,70
470,2016-02-15,스타킹,7
471,2016-02-15,아이스크림,218
472,2016-02-15,탄산음료,70
473,2016-02-15,맥주,56
474,2016-02-16,과자,739
475,2016-02-16,라면,486
476,2016-02-16,숙취해소제,126
477,2016-02-16,탄산음료,42
478,2016-02-16,맥주,303
479,2016-02-16,면도기,7
480,2016-02-16,생리대,35
481,2016-02-16,생수,105
482,2016-02-16,스타킹,28
483,2016-02-16,아이스크림,274
484,2016-02-16,우산,56
485,2016-02-17,과자,803
486,2016-02-17,라면,464
487,2016-02-17,맥주,119
488,2016-02-17,생리대,28
489,2016-02-17,생수,155
490,2016-02-17,숙취해소제,49
491,2016-02-17,아이스크림,225
492,2016-02-17,탄산음료,63
493,2016-02-17,면도기,7
494,2016-02-17,스타킹,7
495,2016-02-18,과자,923
496,2016-02-18,라면,471
497,2016-02-18,마스크,28
498,2016-02-18,맥주,253
499,2016-02-18,스타킹,42
500,2016-02-18,면도기,7
501,2016-02-18,생리대,42
502,2016-02-18,생수,112
503,2016-02-18,숙취해소제,134
504,2016-02-18,아이스크림,352
505,2016-02-18,탄산음료,63
506,2016-02-19,과자,1275
507,2016-02-19,라면,649
508,2016-02-19,마스크,7
509,2016-02-19,맥주,296
510,2016-02-19,생리대,63
511,2016-02-19,생수,204
512,2016-02-19,숙취해소제,70
513,2016-02-19,스타킹,49
514,2016-02-19,아이스크림,282
515,2016-02-19,탄산음료,56
516,2016-02-19,면도기,7
517,2016-02-20,라면,662
518,2016-02-20,생수,331
519,2016-02-20,과자,1149
520,2016-02-20,마스크,14
521,2016-02-20,맥주,318
522,2016-02-20,생리대,92
523,2016-02-20,숙취해소제,168
524,2016-02-20,스타킹,63
525,2016-02-20,아이스크림,338
526,2016-02-20,탄산음료,84
527,2016-02-20,면도기,7
528,2016-02-21,라면,479
529,2016-02-21,생수,260
530,2016-02-21,숙취해소제,91
531,2016-02-21,아이스크림,386
532,2016-02-21,탄산음료,63
533,2016-02-21,과자,1120
534,2016-02-21,마스크,14
535,2016-02-21,맥주,176
536,2016-02-21,생리대,84
537,2016-02-21,스타킹,7
538,2016-02-22,과자,845
539,2016-02-22,라면,422
540,2016-02-22,탄산음료,98
541,2016-02-22,맥주,232
542,2016-02-22,생리대,56
543,2016-02-22,생수,126
,2016-02-22,숙취해소제,70
,2016-02-22,스타킹,21
,2016-02-22,아이스크림,394
,2016-02-22,우산,14
,2016-02-23,과자,1092
,2016-02-23,라면,395
,2016-02-23,아이스크림,302
,2016-02-23,맥주,296
,2016-02-23,생리대,49
,2016-02-23,생수,218
,2016-02-23,숙취해소제,105
,2016-02-23,스타킹,21
,2016-02-23,면도기,7
,2016-02-23,탄산음료,49
,2016-02-24,과자,1057
,2016-02-24,라면,527
,2016-02-24,마스크,7
,2016-02-24,스타킹,21
,2016-02-24,맥주,212
,2016-02-24,생리대,49
,2016-02-24,생수,126
,2016-02-24,숙취해소제,141
,2016-02-24,아이스크림,352
,2016-02-24,탄산음료,35
,2016-02-24,면도기,14
,2016-02-25,과자,1015
,2016-02-25,라면,628
,2016-02-25,맥주,204
,2016-02-25,면도기,7
,2016-02-25,생리대,56
,2016-02-25,생수,183
,2016-02-25,숙취해소제,148
,2016-02-25,스타킹,28
,2016-02-25,아이스크림,303
,2016-02-25,탄산음료,84
,2016-02-25,마스크,7
,2016-02-26,과자,1000
,2016-02-26,생리대,70
,2016-02-26,라면,633
,2016-02-26,맥주,260
,2016-02-26,면도기,14
,2016-02-26,생수,141
,2016-02-26,숙취해소제,211
,2016-02-26,스타킹,105
,2016-02-26,아이스크림,274
,2016-02-26,우산,21
,2016-02-26,탄산음료,105
,2016-02-27,과자,1149
,2016-02-27,라면,437
,2016-02-27,생리대,70
,2016-02-27,탄산음료,239
,2016-02-27,맥주,416
,2016-02-27,생수,275
,2016-02-27,숙취해소제,205
,2016-02-27,스타킹,56
,2016-02-27,아이스크림,472
,2016-02-27,우산,42
,2016-02-27,마스크,7
,2016-02-28,라면,534
,2016-02-28,우산,211
,2016-02-28,탄산음료,84
,2016-02-28,과자,1269
,2016-02-28,맥주,309
,2016-02-28,면도기,14
,2016-02-28,생리대,84
,2016-02-28,생수,268
,2016-02-28,숙취해소제,112
,2016-02-28,스타킹,35
,2016-02-28,아이스크림,584
,2016-02-29,과자,1029
,2016-02-29,라면,506
,2016-02-29,맥주,323
,2016-02-29,생리대,35
,2016-02-29,생수,141
,2016-02-29,숙취해소제,126
,2016-02-29,스타킹,42
,2016-02-29,아이스크림,437
,2016-02-29,우산,7
,2016-02-29,탄산음료,56
,2016-02-29,면도기,7
,2016-03-01,과자,1001
,2016-03-01,라면,549
,2016-03-01,숙취해소제,91
,2016-03-01,마스크,7
,2016-03-01,맥주,422
,2016-03-01,생리대,63
,2016-03-01,생수,155
,2016-03-01,스타킹,35
,2016-03-01,아이스크림,556
,2016-03-01,탄산음료,134
,2016-03-01,면도기,7
,2016-03-02,과자,1008
,2016-03-02,생수,1079
,2016-03-02,라면,514
,2016-03-02,맥주,225
,2016-03-02,생리대,28
,2016-03-02,숙취해소제,70
,2016-03-02,스타킹,14
,2016-03-02,아이스크림,325
,2016-03-02,탄산음료,63
,2016-03-02,면도기,21
,2016-03-03,과자,994
,2016-03-03,라면,457
,2016-03-03,맥주,366
,2016-03-03,생리대,56
,2016-03-03,생수,169
,2016-03-03,숙취해소제,42
,2016-03-03,스타킹,84
,2016-03-03,아이스크림,359
,2016-03-03,탄산음료,49
,2016-03-03,마스크,7
,2016-03-03,면도기,14
,2016-03-04,과자,929
,2016-03-04,라면,471
,2016-03-04,생수,133
,2016-03-04,스타킹,56
,2016-03-04,맥주,303
,2016-03-04,면도기,14
,2016-03-04,생리대,49
,2016-03-04,숙취해소제,133
,2016-03-04,아이스크림,437
,2016-03-04,우산,119
,2016-03-04,탄산음료,91
,2016-03-05,과자,1269
,2016-03-05,라면,613
,2016-03-05,아이스크림,670
,2016-03-05,우산,457
,2016-03-05,맥주,345
,2016-03-05,생리대,49
,2016-03-05,생수,274
,2016-03-05,숙취해소제,247
,2016-03-05,스타킹,35
,2016-03-05,탄산음료,176
,2016-03-05,마스크,7
,2016-03-06,과자,1114
,2016-03-06,라면,506
,2016-03-06,생수,225
,2016-03-06,아이스크림,515
,2016-03-06,맥주,359
,2016-03-06,면도기,7
,2016-03-06,생리대,77
,2016-03-06,숙취해소제,84
,2016-03-06,스타킹,42
,2016-03-06,탄산음료,84
,2016-03-06,마스크,28
,2016-03-06,우산,7
,2016-03-07,과자,810
,2016-03-07,라면,486
,2016-03-07,생수,218
,2016-03-07,우산,70
,2016-03-07,맥주,91
,2016-03-07,생리대,112
,2016-03-07,숙취해소제,91
,2016-03-07,스타킹,63
,2016-03-07,아이스크림,381
,2016-03-07,탄산음료,84
,2016-03-07,마스크,14
,2016-03-08,과자,853
,2016-03-08,라면,464
,2016-03-08,생수,281
,2016-03-08,마스크,7
,2016-03-08,맥주,148
,2016-03-08,숙취해소제,310
,2016-03-08,스타킹,49
,2016-03-08,아이스크림,247
,2016-03-08,탄산음료,84
,2016-03-08,생리대,28
,2016-03-08,면도기,14
,2016-03-09,과자,1022
,2016-03-09,라면,499
,2016-03-09,생수,204
,2016-03-09,아이스크림,246
,2016-03-09,마스크,7
,2016-03-09,맥주,120
,2016-03-09,생리대,7
,2016-03-09,숙취해소제,148
,2016-03-09,스타킹,35
,2016-03-09,탄산음료,98
,2016-03-10,과자,894
,2016-03-10,맥주,168
,2016-03-10,생수,232
,2016-03-10,아이스크림,211
,2016-03-10,라면,599
,2016-03-10,마스크,56
,2016-03-10,생리대,63
,2016-03-10,숙취해소제,105
,2016-03-10,스타킹,14
,2016-03-10,탄산음료,77
,2016-03-11,과자,1148
,2016-03-11,라면,527
,2016-03-11,마스크,7
,2016-03-11,생수,134
,2016-03-11,아이스크림,423
,2016-03-11,맥주,295
,2016-03-11,생리대,77
,2016-03-11,숙취해소제,169
,2016-03-11,스타킹,63
,2016-03-11,탄산음료,112
,2016-03-11,면도기,7
,2016-03-12,과자,1233
,2016-03-12,라면,592
,2016-03-12,아이스크림,528
,2016-03-12,맥주,387
,2016-03-12,면도기,7
,2016-03-12,생리대,63
,2016-03-12,생수,331
,2016-03-12,숙취해소제,140
,2016-03-12,스타킹,49
,2016-03-12,탄산음료,91
,2016-03-13,과자,1113
,2016-03-13,라면,585
,2016-03-13,아이스크림,486
,2016-03-13,탄산음료,98
,2016-03-13,맥주,268
,2016-03-13,생리대,77
,2016-03-13,생수,204
,2016-03-13,숙취해소제,70
,2016-03-13,스타킹,35
,2016-03-13,우산,14
,2016-03-13,면도기,14
,2016-03-14,라면,569
,2016-03-14,생수,224
,2016-03-14,과자,804
,2016-03-14,맥주,141
,2016-03-14,면도기,7
,2016-03-14,생리대,63
,2016-03-14,숙취해소제,49
,2016-03-14,스타킹,49
,2016-03-14,아이스크림,260
,2016-03-14,탄산음료,91
,2016-03-15,과자,861
,2016-03-15,라면,605
,2016-03-15,탄산음료,91
,2016-03-15,맥주,147
,2016-03-15,생리대,84
,2016-03-15,생수,140
,2016-03-15,숙취해소제,70
,2016-03-15,스타킹,49
,2016-03-15,아이스크림,450
,2016-03-15,우산,7
,2016-03-15,마스크,7
,2016-03-16,과자,972
,2016-03-16,라면,586
,2016-03-16,맥주,233
,2016-03-16,생수,182
,2016-03-16,아이스크림,289
,2016-03-16,생리대,77
,2016-03-16,숙취해소제,77
,2016-03-16,스타킹,70
,2016-03-16,탄산음료,49
,2016-03-16,마스크,7
,2016-03-17,과자,895
,2016-03-17,라면,577
,2016-03-17,생리대,70
,2016-03-17,생수,168
,2016-03-17,탄산음료,63
,2016-03-17,맥주,253
,2016-03-17,숙취해소제,148
,2016-03-17,스타킹,70
,2016-03-17,아이스크림,536
,2016-03-17,면도기,7
,2016-03-18,과자,1149
,2016-03-18,라면,633
,2016-03-18,맥주,225
,2016-03-18,아이스크림,663
,2016-03-18,탄산음료,141
,2016-03-18,마스크,21
,2016-03-18,면도기,7
,2016-03-18,생리대,49
,2016-03-18,생수,337
,2016-03-18,숙취해소제,126
,2016-03-18,스타킹,120
,2016-03-18,우산,7
,2016-03-19,과자,1366
,2016-03-19,라면,584
,2016-03-19,맥주,444
,2016-03-19,생리대,112
,2016-03-19,탄산음료,112
,2016-03-19,생수,288
,2016-03-19,숙취해소제,204
,2016-03-19,스타킹,84
,2016-03-19,아이스크림,1028
,2016-03-19,마스크,7
,2016-03-19,면도기,7
,2016-03-20,과자,945
,2016-03-20,라면,492
,2016-03-20,맥주,268
,2016-03-20,아이스크림,810
,2016-03-20,마스크,21
,2016-03-20,면도기,56
,2016-03-20,생리대,49
,2016-03-20,생수,274
,2016-03-20,숙취해소제,198
,2016-03-20,스타킹,78
,2016-03-20,탄산음료,105
,2016-03-21,과자,923
,2016-03-21,라면,527
,2016-03-21,생수,232
,2016-03-21,스타킹,84
,2016-03-21,아이스크림,416
,2016-03-21,탄산음료,98
,2016-03-21,마스크,63
,2016-03-21,맥주,232
,2016-03-21,생리대,42
,2016-03-21,숙취해소제,42
,2016-03-22,과자,923
,2016-03-22,라면,535
,2016-03-22,맥주,345
,2016-03-22,생수,190
,2016-03-22,스타킹,42
,2016-03-22,아이스크림,754
,2016-03-22,마스크,21
,2016-03-22,생리대,63
,2016-03-22,숙취해소제,70
,2016-03-22,탄산음료,176
,2016-03-23,라면,535
,2016-03-23,생수,197
,2016-03-23,아이스크림,351
,2016-03-23,탄산음료,190
,2016-03-23,과자,930
,2016-03-23,맥주,112
,2016-03-23,생리대,56
,2016-03-23,숙취해소제,140
,2016-03-23,스타킹,77
,2016-03-23,마스크,7
,2016-03-23,면도기,70
,2016-03-24,과자,951
,2016-03-24,아이스크림,443
,2016-03-24,탄산음료,133
,2016-03-24,라면,528
,2016-03-24,맥주,274
,2016-03-24,생리대,49
,2016-03-24,생수,267
,2016-03-24,숙취해소제,119
,2016-03-24,스타킹,63
,2016-03-24,면도기,7
,2016-03-25,과자,981
,2016-03-25,라면,698
,2016-03-25,생리대,77
,2016-03-25,생수,415
,2016-03-25,숙취해소제,182
,2016-03-25,맥주,388
,2016-03-25,면도기,14
,2016-03-25,스타킹,85
,2016-03-25,아이스크림,472
,2016-03-25,탄산음료,162
,2016-03-26,과자,1049
,2016-03-26,라면,493
,2016-03-26,맥주,429
,2016-03-26,아이스크림,705
,2016-03-26,마스크,7
,2016-03-26,생리대,98
,2016-03-26,생수,302
,2016-03-26,숙취해소제,282
,2016-03-26,스타킹,77
,2016-03-26,탄산음료,197
,2016-03-27,과자,1346
,2016-03-27,맥주,472
,2016-03-27,생수,240
,2016-03-27,아이스크림,699
,2016-03-27,탄산음료,148
,2016-03-27,라면,507
,2016-03-27,생리대,91
,2016-03-27,숙취해소제,134
,2016-03-27,스타킹,78
,2016-03-27,마스크,7
,2016-03-28,과자,811
,2016-03-28,라면,535
,2016-03-28,생수,212
,2016-03-28,아이스크림,536
,2016-03-28,탄산음료,133
,2016-03-28,마스크,14
,2016-03-28,맥주,204
,2016-03-28,생리대,77
,2016-03-28,숙취해소제,70
,2016-03-28,스타킹,126
,2016-03-29,과자,795
,2016-03-29,라면,500
,2016-03-29,생리대,63
,2016-03-29,생수,239
,2016-03-29,우산,70
,2016-03-29,탄산음료,198
